smiles,property_value_median
*c1ccc(cc1)Oc1ccc(cc1)c1nc2cc3nc(*)cc(c3cc2c(c1)c1ccccc1)c1ccccc1,0.0457
*c1ccc(cc1)Oc1ccc(cc1)c1nc2cc3c(cc2c(c1)c1ccccc1)nc(cc3c1ccccc1)*,0.0428
*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C1(*)OC(=O)c2c1cccc2,0.064
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*)(C)C,0.076
*Oc1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,0.082
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,0.088
*Oc1ccc2c(c1)ccc(c2)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,0.084
*Oc1ccc(cc1c1ccccc1)Oc1ccc(cc1)C(=O)Nc1ccc(cc1)NC(=O)c1ccc(cc1)*,0.094
OCCN(CC(C*)O)CC(COc1ccc(cc1)C(c1ccc(cc1)O*)(C)C)O,0.0519
*CC(COC(=O)CCCCC(=O)OCC(COc1ccc(cc1)C(c1ccc(cc1)O*)(C)C)O)O,0.05
*CC(COC(=O)C1CCC(CC1)C(=O)OCC(COc1ccc(cc1)C(c1ccc(cc1)O*)(C)C)O)O,0.06
*CC(COC(=O)CCCCCCCCCCC(=O)OCC(COc1ccc(cc1)O*)O)O,0.0069
*Oc1ccc(cc1C(F)(F)F)c1ccc(cc1)c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)*,0.062
*Oc1ccc(cc1C(F)(F)F)c1ccc(cc1)c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C(c1ccc(cc1)*)(C)C,0.052
*Oc1ccc(cc1)C1(c2ccc(cc2)Oc2ccc(cc2C(F)(F)F)c2ccc(cc2)c2ccc(c(c2)C(F)(F)F)*)c2ccccc2-c2c1cccc2,0.061
*Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1C(F)(F)F)c1ccc(cc1)c1ccc(c(c1)C(F)(F)F)*,0.065
*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1C(F)(F)F)c1cccc(n1)*,0.056
*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1C(F)(F)F)c1cccc(n1)*)(C)C,0.06
*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C1(c2ccc(cc2)Oc2ccc(cc2C(F)(F)F)c2cccc(n2)*)c2ccccc2-c2c1cccc2,0.055
*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1C(F)(F)F)c1ccc(s1)*,0.058
*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1C(F)(F)F)c1ccc(s1)*)(C)C,0.042
*c1ccc(c(c1)C(F)(F)F)Oc1ccc(cc1)C1(c2ccc(cc2)Oc2ccc(cc2C(F)(F)F)c2ccc(s2)*)c2ccccc2-c2c1cccc2,0.064
*Oc1ccc(cc1S(=O)(=O)O)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,0.069
*Oc1ccc(cc1S(=O)(=O)O)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*,0.052
*C(=O)OCCCOC(=O)c1ccc(o1)*,0.0682
*c1ccc(c(c1)S(=O)(=O)O)Sc1ccc(cc1)Sc1ccc(cc1)Sc1ccc(cc1S(=O)(=O)O)S(=O)(=O)*,0.02645
CCCCCCOC(=O)C(Cc1ccc(cc1)O*)NC(=O)CCc1ccc(cc1)OC(=O)CCCCC(=O)*,0.0096
CCCCCCOC(=O)C(Cc1ccc(cc1)O*)NC(=O)CCc1ccc(cc1)OC(=O)CCCCCCCCC(=O)*,0.0011
CCCCOC(=O)C(Cc1ccc(cc1)O*)NC(=O)CCc1ccc(cc1)OC(=O)CCCCCCC(=O)*,0.031
CCCCOC(=O)C(Cc1ccc(cc1)O*)NC(=O)CCc1ccc(cc1)OC(=O)CCCCCCCCC(=O)*,0.0058
CCCCCCC1C=CC(C(C1CCCCCCCC)CCCCCCCC(=O)NCCCCCC*)CCCCCCCC(=O)N*,0.0114
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,0.088
