smiles,property_value_median
*c1cccc(c1)N1C(=O)C2C(C1=O)CCC(C2)C1CCC2C(C1)C(=O)N(C2=O)*,0.0883
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*,0.099
*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(c(c1)N1C(=O)c2c(C1=O)cc(cc2)*)C,0.086
*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,0.104
*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.117
*c1ccc(c(c1)C(F)(F)F)Oc1ccccc1Oc1ccc(cc1C(F)(F)F)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,0.101
*c1ccc(c(c1)C(F)(F)F)Oc1ccccc1Oc1ccc(cc1C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,0.123
*c1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)c1ccc2c(c1)C(=O)N(C2=O)c1ccc2c(c1)nc([nH]2)*,0.2335
*c1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)C(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc2c(c1)nc([nH]2)*,0.1982
*c1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)c1ccc2c(c1)nc([nH]2)*)(C)C,0.1148
*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cn1)C(=O)Nc1ccc(cc1)NC(=O)c1ccc(nc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,0.132
*c1ccc(cc1)N=Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)N=Nc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*)(C)C,0.0991
*c1ccc(cc1)N=Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)N=Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*)(C)C,0.0865
*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)N=Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)N=Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*)(C)C,0.0926
*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)N=Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)N=Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*)(C)C,0.075
*c1ccc(cc1)N=Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)N=Nc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*)(C)C,0.0637
*c1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1cccc2c1C(=O)N(C2=O)*,0.083
*c1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*,0.08
*Oc1c(Cl)cc(cc1Cl)C1(CC2CC1CC2)c1cc(Cl)c(c(c1)Cl)OC(=O)*,0.074463
*Oc1c(Br)cc(cc1Br)C1(CC2CC1CC2)c1cc(Br)c(c(c1)Br)OC(=O)*,0.072394
*Oc1ccc(cc1)C(C1C2CCC(C1C)C2)c1ccc(cc1)OC(=O)*,0.074463
*Oc1ccc(cc1)C1(CC2CC1C1C2CCC1)c1ccc(cc1)OC(=O)*,0.077221
*C=CCC(C*)(c1ccccc1)c1ccccc1,0.138
*C=CCC(C*)c1ccccc1,0.13
*N1C(=O)c2c(C1=O)cc(c(c2)c1ccc(cc1)[Si](C)(C)C)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1c1ccc(cc1)[Si](C)(C)C,0.103
*c1cc2c(C(=O)N(C2=O)c2cc(cc(c2)C(=O)OC)N2C(=O)c3c(C2=O)cc(c(c3)Cl)C(=O)*)cc1Cl,0.105
*S(=O)(=O)c1ccc(cc1)Nc1ccc(cc1)C1(c2ccccc2-c2ccccc12)c1ccc(cc1)Nc1ccc(cc1)*,0.094
*C(=CCCC*)c1ccccc1,0.098
*n1nc(nn1)c1ccc(cc1)c1nn(nn1)C(=Nc1ccccc1)c1ccc(cc1)C(=Nc1ccccc1)*,0.103
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)N2C(=O)c3c(C2=O)cc(c(c3)Cl)C(=O)*)cc1Cl,0.096
*c1c(nnc(n1)c1nc(ccc1)c1nc(c(nn1)c1ccccc1)c1ccc(cc1)C(=O)c1ccc(cc1)*)c1ccccc1,0.116
*C#CC(=C(*)Cn1cnc2c1cccc2)Cn1cnc2c1cccc2,0.115
*c1ccc(c2cc3nc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)ccc3[nH]2)cc1,0.128
*c1ccc2nc(c3cccnc3N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)[nH]c2c1,0.1375
*c1cnc(c2cc3cc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)ccc3[nH]2)nc1,0.146
*c1ccc(c2c3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3nc3ccc(C)cc23)cc1,0.122
*c1ccc(c2cc3nc(N4C(=O)c5ccc(c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)ccc3[nH]2)cc1,0.121
*c1ccccc1c1nc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2o1,0.125
*c1ccccc1c1nc2cc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)ccc2o1,0.118
*c1ncnc2ccc(c3cccnc3N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc12,0.108
*c1ccc(c2nc3cc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)ncc3[nH]2)cc1,0.122
*c1ccc2[nH]c(c3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3C)nc2n1,0.117
